Number,Name,Address,Latitude,Longitude
4006,4006 - PHILIPPE DE LASSALLE,Angle rue Anselme, face à l'IUFM,45.773358,4.821234
6002,6002 - PORTE DES ENFANTS DU RHÔNE (FAR),Le long des grilles, côté ouest de la porte,45.777521,4.844922
7033,7033 - ST LUC / ST JOSEPH (FAR),Sur le quai haut,45.749431,4.834816
10016,10016 - PLACE DE LA PAIX,,45.752074,4.91466
7041,7041 - DOMER / CHEVREUL,Rue Domer/angle rue Chevreul,45.746681,4.844455
3090,3090 - VINATIER,,45.741865,4.893461
3071,3071 - BIOPARC,,45.740492,4.888084
10004,10004 - TONKIN,Rue Salvador Allende / Angle promenade du Lys,45.776217,4.862636
6028,6028 - RECAMMIER / TÊTE D'OR,Angle rue Tête d'Or,45.764345,4.853492
10034,10034 - DOCTEUR DAMIDOT,Devant la MJC,45.761825,4.886156
6045,6045 - BROTTEAUX / VAUBAN,,45.766284,4.856848
5047,5047 - ALBÉRIC PONT,,45.753452,4.804401
9008,9008 - L'ILE BARBE,,45.797415,4.829038
10053,10053 - ROSSELINI / 11 NOVEMBRE,,45.77939,4.863068
10110,10110 - MÉMOIRE ET SOCIÉTÉ,,45.75958,4.882739
8058,8058 - LONGEFER / KRUGER,,45.738671,4.878117
3032,3032 - LAFAYETTE / CRÉQUI,Angle cours Lafayette,45.76341,4.847132
2012,2012 - GAILLETON,,45.753455,4.833367
8011,8011 - PLACE LEBRET,Côté route de Vienne,45.735653,4.853042
4002,4002 - MAIRIE DU 4°,Devant la mairie du 4°,45.774193,4.827743
10092,10092 - MONTGOLFIER / CHATEAU GAILLARD,,45.771561,4.890378
10024,10024 - Maisons Neuves,Place des Maisons Neuves/Côté rue Jean Jaurès,45.7563424627814,4.878336225467921
3013,3013 - PLACE ANTOINETTE,Place Antoinette,45.753683,4.889285
8006,8006 - PLACE DU 8 MAI 1945,Rue Professeur Beauvisage/Angle bd des Etats-Unis,45.729771,4.868157
12002,12002 - POUDRETTE LA SOIE,Face au 2 rue de la Poudrette, Vaulx en Velin,45.76438,4.919276
10049,10049 - PRESSENSÉ,Rue Francis de Pressensé/angle 8 mai 1945,45.769158,4.89678
7021,7021- CHALLEMEL LACOUR / GERLAND,176–180 Rue de Gerland 69007 Lyon,45.729791,4.838138
6003,6003 - AVENUE VERGUIN,Devant l'entrée du parc,45.772846,4.856274
8024,8024 - MERMOZ / MICHELET,Angle av Michelet,45.733317,4.878607
7007,7007 - FARGE / AYASSE,,45.735741,4.827725
6020,6020 - MUSÉE GUIMET,Angle rue Morellet,45.774526,4.848443
12001,12001 - LA SOIE,,45.760908,4.920569
10055,10055 - CONDORCET / GALLINE,Avenue Galline/angle av. de Condorcet,45.776428,4.866976
5044,5044 - CHAMPVERT,,45.7598,4.796561
10006,10006 - CHARPENNES (FAR),Place Charles Hernu / côté sud,45.770225,4.863102
6012,6012 - PLACE PUVIS DE CHAVANNES,Angle rue Vendôme,45.771794,4.84459
