Number,Name,Address,Latitude,Longitude
6036,6036 - MUSÉE D'ART CONTEMPORAIN (FAR),Allée A. Lignon,45.783885,4.852156
7005,7005 - DEBOURG,Avenue Debourg - Angle avenue Jean Jaurès,45.73182,4.833996
6011,6011- MAIRIE DU 6ÈME,Angle rue Boileau,45.768395,4.849402
7061,7061 - JAURES / UNIVERSITE,,45.748545,4.843249
2005,2005 - CONFLUENCE HÔTEL DE RÉGION,101 cours Charlemagne Lyon 2 direction centre ville. Devant l'hôtel de Région,45.740675,4.819284
5030,5030 - CHARCOT / RÉSIDENCE UNIVERSITAIRE,Angle rue du fort Ste Irénée / Charcot,45.755054,4.807811
8039,8039 - PIERRE DELORE,,45.738617,4.852412
7062,7062 - GARIBALDI / DOMER,,45.747735,4.85162
8002,8002- PLACE AMBROISE COURTOIS,Face au cours Albert Thomas,45.745296,4.871604
10007,10007 - PIATON / CONDORCET,Av Piaton / angle Condorcet,45.774204,4.867512
9033,9033 - GORGE DE LOUP,,45.767484,4.805626
5001,5001 - PLACE VARILLON (FUNICULAIRE ST JUST),Devant le n°63 rue de Trion,45.757319,4.815064
